127.0.0.1 - - [27/Jul/2016:10:26:24 +0530] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [27/Jul/2016:10:26:25 +0530] "GET /HIS_API/ HTTP/1.1" 200 52
172.16.21.225 - - [27/Jul/2016:10:33:02 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
172.16.21.225 - - [27/Jul/2016:10:33:03 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 359
172.16.21.225 - - [27/Jul/2016:10:33:03 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
172.16.21.225 - - [27/Jul/2016:10:33:03 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 15
172.16.21.225 - - [27/Jul/2016:10:33:03 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
172.16.21.225 - - [27/Jul/2016:10:33:03 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
172.16.21.56 - - [27/Jul/2016:10:41:40 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 360
172.16.21.56 - - [27/Jul/2016:10:41:41 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 3907
172.16.21.56 - - [27/Jul/2016:10:41:49 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/10 HTTP/1.1" 200 6025
172.16.21.56 - - [27/Jul/2016:10:41:49 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/10 HTTP/1.1" 200 64551
172.16.21.56 - - [27/Jul/2016:10:41:49 +0530] "GET /HIS_API/rest/LabTestRequest/getTestRequestByRequestID/17 HTTP/1.1" 200 314
172.16.21.56 - - [27/Jul/2016:10:41:50 +0530] "GET /HIS_API/rest/ParentTestFields/getAllParenTestFields/1 HTTP/1.1" 200 12613
172.16.21.56 - - [27/Jul/2016:10:41:50 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/10 HTTP/1.1" 200 6025
172.16.21.56 - - [27/Jul/2016:10:41:54 +0530] "GET /HIS_API/rest/LabTestRequest/getAllSpecimenTypes HTTP/1.1" 200 116
172.16.21.56 - - [27/Jul/2016:10:41:54 +0530] "GET /HIS_API/rest/LabTestRequest/getAllSpecimenRetentionTypes HTTP/1.1" 200 121
172.16.21.56 - - [27/Jul/2016:10:41:54 +0530] "GET /HIS_API/rest/LabTestRequest/getTestRequestByRequestID/10 HTTP/1.1" 200 314
172.16.21.56 - - [27/Jul/2016:10:42:04 +0530] "POST /HIS_API/rest/LabTestRequest/addSpecimenInfo HTTP/1.1" 200 8698
172.16.21.56 - - [27/Jul/2016:10:42:04 +0530] "POST /HIS_API/rest/LabTestRequest/setStatus HTTP/1.1" 204 -
172.16.21.56 - - [27/Jul/2016:10:42:07 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 3908
172.16.21.56 - - [27/Jul/2016:10:42:15 +0530] "GET /HIS_API/rest/LabTestRequest/getAllSpecimenTypes HTTP/1.1" 200 116
172.16.21.56 - - [27/Jul/2016:10:42:15 +0530] "GET /HIS_API/rest/LabTestRequest/getAllSpecimenRetentionTypes HTTP/1.1" 200 121
172.16.21.56 - - [27/Jul/2016:10:42:16 +0530] "GET /HIS_API/rest/LabTestRequest/getTestRequestByRequestID/12 HTTP/1.1" 200 314
