127.0.0.1 - - [25/Jul/2016:13:23:58 +0530] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [25/Jul/2016:13:24:04 +0530] "GET /HIS_API/ HTTP/1.1" 200 52
127.0.0.1 - - [25/Jul/2016:13:24:04 +0530] "GET /favicon.ico HTTP/1.1" 404 973
172.16.21.225 - - [25/Jul/2016:13:24:44 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
172.16.21.225 - - [25/Jul/2016:13:24:44 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 12
172.16.21.225 - - [25/Jul/2016:13:24:44 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
172.16.21.225 - - [25/Jul/2016:13:24:44 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 15
172.16.21.225 - - [25/Jul/2016:13:24:44 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
172.16.21.225 - - [25/Jul/2016:13:24:44 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
172.16.21.225 - - [25/Jul/2016:13:24:52 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 200
172.16.21.225 - - [25/Jul/2016:13:24:52 +0530] "GET /HIS_API/rest/HrAttandanceService/getAllAttendanceByDept/2016-07-25/5/1 HTTP/1.1" 200 624
172.16.21.225 - - [25/Jul/2016:13:24:53 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/2 HTTP/1.1" 200 269
172.16.21.225 - - [25/Jul/2016:13:24:53 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/2 HTTP/1.1" 200 12
172.16.21.225 - - [25/Jul/2016:13:24:53 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
172.16.21.225 - - [25/Jul/2016:13:24:53 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
172.16.21.225 - - [25/Jul/2016:13:24:57 +0530] "GET /HIS_API/rest/OutPatient/getAllPatients HTTP/1.1" 200 103033
172.16.21.225 - - [25/Jul/2016:13:24:59 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:24:59 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:04 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:04 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/13 HTTP/1.1" 204 -
172.16.21.225 - - [25/Jul/2016:13:25:04 +0530] "GET /HIS_API/rest/HrAttandanceService/getAllAttendanceByDept/2016-07-25/5/1 HTTP/1.1" 200 624
172.16.21.225 - - [25/Jul/2016:13:25:04 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 12
172.16.21.225 - - [25/Jul/2016:13:25:04 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/19 HTTP/1.1" 200 12
172.16.21.225 - - [25/Jul/2016:13:25:04 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
172.16.21.225 - - [25/Jul/2016:13:25:04 +0530] "GET /HIS_API/rest/Queue/getNextAssignDoctor/-1 HTTP/1.1" 200 86
172.16.21.225 - - [25/Jul/2016:13:25:06 +0530] "POST /HIS_API/rest/Queue/addPatientToQueue HTTP/1.1" 200 14
172.16.21.225 - - [25/Jul/2016:13:25:07 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:07 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/13 HTTP/1.1" 200 214
172.16.21.225 - - [25/Jul/2016:13:25:07 +0530] "GET /HIS_API/rest/HrAttandanceService/getAllAttendanceByDept/2016-07-25/5/1 HTTP/1.1" 200 624
172.16.21.225 - - [25/Jul/2016:13:25:07 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 183
172.16.21.225 - - [25/Jul/2016:13:25:07 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/19 HTTP/1.1" 200 12
172.16.21.225 - - [25/Jul/2016:13:25:07 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
172.16.21.225 - - [25/Jul/2016:13:25:07 +0530] "GET /HIS_API/rest/Queue/getNextAssignDoctor/-1 HTTP/1.1" 200 84
172.16.21.225 - - [25/Jul/2016:13:25:09 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:09 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:15 +0530] "GET /HIS_API/rest/OutPatient/getAllPatients HTTP/1.1" 200 103033
172.16.21.225 - - [25/Jul/2016:13:25:16 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:16 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:20 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:20 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/13 HTTP/1.1" 200 214
172.16.21.225 - - [25/Jul/2016:13:25:20 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
172.16.21.225 - - [25/Jul/2016:13:25:20 +0530] "GET /HIS_API/rest/Queue/getNextAssignDoctor/-1 HTTP/1.1" 200 84
172.16.21.225 - - [25/Jul/2016:13:25:24 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:24 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:26 +0530] "GET /HIS_API/rest/OutPatient/getAllPatients HTTP/1.1" 200 103033
172.16.21.225 - - [25/Jul/2016:13:25:27 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:28 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:29 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:29 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/13 HTTP/1.1" 200 214
172.16.21.225 - - [25/Jul/2016:13:25:29 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
172.16.21.225 - - [25/Jul/2016:13:25:30 +0530] "GET /HIS_API/rest/Queue/getNextAssignDoctor/-1 HTTP/1.1" 200 84
172.16.21.225 - - [25/Jul/2016:13:25:34 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:34 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
172.16.21.225 - - [25/Jul/2016:13:25:36 +0530] "GET /HIS_API/rest/OutPatient/getAllPatients HTTP/1.1" 200 103033
172.16.21.225 - - [25/Jul/2016:13:25:40 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/15 HTTP/1.1" 200 3776
172.16.21.225 - - [25/Jul/2016:13:25:40 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/15 HTTP/1.1" 200 3776
172.16.21.225 - - [25/Jul/2016:13:25:41 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/15 HTTP/1.1" 200 3776
