127.0.0.1 - - [26/Jul/2016:09:44:53 +0530] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [26/Jul/2016:09:44:56 +0530] "GET /HIS_API/ HTTP/1.1" 200 52
127.0.0.1 - - [26/Jul/2016:09:44:56 +0530] "GET /favicon.ico HTTP/1.1" 404 973
172.16.21.11 - - [26/Jul/2016:09:45:54 +0530] "GET /HIS_API/rest/Category/getAllCategories/ HTTP/1.1" 200 148
172.16.21.11 - - [26/Jul/2016:09:45:54 +0530] "GET /HIS_API/rest/SubCategory/getAllSubCategories/ HTTP/1.1" 200 291
172.16.21.11 - - [26/Jul/2016:09:45:54 +0530] "GET /HIS_API/rest/SpecimenType/getAllSpecimenTypes/ HTTP/1.1" 200 307
172.16.21.11 - - [26/Jul/2016:09:45:57 +0530] "GET /HIS_API/rest/TestNames/getAllTests HTTP/1.1" 200 15097
172.16.21.11 - - [26/Jul/2016:09:46:00 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 3914
172.16.21.11 - - [26/Jul/2016:09:46:04 +0530] "GET /HIS_API/rest/LabTestRequest/getAllSpecimenTypes HTTP/1.1" 200 116
172.16.21.11 - - [26/Jul/2016:09:46:04 +0530] "GET /HIS_API/rest/LabTestRequest/getAllSpecimenRetentionTypes HTTP/1.1" 200 121
172.16.21.11 - - [26/Jul/2016:09:46:04 +0530] "GET /HIS_API/rest/LabTestRequest/getTestRequestByRequestID/9 HTTP/1.1" 200 309
172.16.21.11 - - [26/Jul/2016:09:46:14 +0530] "POST /HIS_API/rest/LabTestRequest/addSpecimenInfo HTTP/1.1" 200 8694
172.16.21.11 - - [26/Jul/2016:09:46:14 +0530] "POST /HIS_API/rest/LabTestRequest/setStatus HTTP/1.1" 204 -
172.16.21.11 - - [26/Jul/2016:09:46:17 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 3915
172.16.21.11 - - [26/Jul/2016:09:46:20 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/11 HTTP/1.1" 200 762
