127.0.0.1 - - [06/Mar/2017:09:19:28 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Mar/2017:09:19:29 +0530] "GET /HIS_API/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:10:58 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:10:59 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4198
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:11:13 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:11:13 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:11:13 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:11:14 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:11:14 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:11:14 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:45 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:45 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/5 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:45 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/5 HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:45 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/5 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:45 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/5 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:45 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:54 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:55 +0530] "GET /HIS_API/rest/HrAttandanceService/getAllAttendanceByDept/2017-03-06/5/1 HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:55 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/2 HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:55 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/2 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:55 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:12:55 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:13:15 +0530] "GET /HIS_API/rest/Visit/getVisitsForReport/0001-01-01/2017-01-01/0 HTTP/1.1" 200 178948
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:13:29 +0530] "GET /HIS_API/rest/OutPatient/getAllPatients HTTP/1.1" 200 107416
0:0:0:0:0:0:0:1 - - [06/Mar/2017:12:19:07 +0530] "POST /HIS_API/rest/OutPatient/registerPatient HTTP/1.1" 200 27
