127.0.0.1 - - [06/Dec/2016:08:25:41 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:25:42 +0530] "GET /HIS_API/ HTTP/1.1" 200 52
127.0.0.1 - - [06/Dec/2016:08:26:18 +0530] "POST /HIS_API/rest/LabDepartments/addLabDepartment/ HTTP/1.1" 200 100
127.0.0.1 - - [06/Dec/2016:08:26:18 +0530] "POST /HIS_API/rest/LabType/addLabType/ HTTP/1.1" 200 94
127.0.0.1 - - [06/Dec/2016:08:26:18 +0530] "POST /HIS_API/rest/LabType/updateLabTypes/ HTTP/1.1" 200 91
127.0.0.1 - - [06/Dec/2016:08:26:19 +0530] "GET /HIS_API/rest/TestNames/getAllTests/ HTTP/1.1" 200 15717
127.0.0.1 - - [06/Dec/2016:08:26:19 +0530] "POST /HIS_API/rest/TestNames/addNewtest/ HTTP/1.1" 200 1700
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "POST /HIS_API/rest/MainResults/addMainResults HTTP/1.1" 200 12
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "POST /HIS_API/rest/Category/addNewCatDetails HTTP/1.1" 200 11
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "GET /HIS_API/rest/Category/getAllCategories HTTP/1.1" 200 214
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "GET /HIS_API/rest/SubCategory/getAllSubCategories HTTP/1.1" 200 425
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "GET /HIS_API/rest/Category/getAllCategories HTTP/1.1" 200 214
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "GET /HIS_API/rest/SubCategory/getAllSubCategories HTTP/1.1" 200 425
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "GET /HIS_API/rest/SpecimenRetentionType/getAllSpecimenRetentionTypesByCIDSID/3/3 HTTP/1.1" 200 12
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "GET /HIS_API/rest/SpecimenType/getAllSpecimenTypes HTTP/1.1" 500 11136
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "POST /HIS_API/rest/SubTestFields/addNewSubTestField HTTP/1.1" 200 38
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "POST /HIS_API/rest/SubTestFieldsResults/addNewSubTestField HTTP/1.1" 200 14
127.0.0.1 - - [06/Dec/2016:08:26:20 +0530] "POST /HIS_API/rest/LabTestRequest/addLabTestRequest HTTP/1.1" 200 6028
127.0.0.1 - - [06/Dec/2016:08:26:21 +0530] "GET /HIS_API/rest/OutPatient/getAllPatients HTTP/1.1" 200 107516
127.0.0.1 - - [06/Dec/2016:08:26:21 +0530] "POST /HIS_API/rest/SampleCenters/addNewsampleCenter HTTP/1.1" 200 1629
