127.0.0.1 - - [22/Jun/2017:08:19:15 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:19:21 +0530] "GET /HIS_API/ HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:18 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:18 +0530] "GET /HIS_API/rest/HrAttandanceService/getAllAttendanceByDept/2017-06-22/5/1 HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:18 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/2 HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:18 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/2 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:18 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:18 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:21 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:22 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:22 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:22 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:23 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/Jun/2017:08:22:23 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:26:51 +0530] "GET /HIS_API/rest/Queue/holdQueue/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:26:51 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:26:51 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:26:52 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:26:52 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:26:52 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:28:05 +0530] "GET /HIS_API/rest/OutPatient/getAllPatients HTTP/1.1" 200 110381
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:28:13 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/89 HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:28:13 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/89 HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:28:14 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/89 HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:28:14 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/89 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:28:14 +0530] "GET /HIS_API/rest/HrAttandanceService/getAllAttendanceByDept/2017-06-22/5/1 HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [22/Jun/2017:09:28:14 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByDoctorID/1 HTTP/1.1" 200 180
